training_scope,horizon,metric,city,patchtst_metric,lstm_metric,delta_patch_minus_lstm,relative_delta_pct_of_lstm,ci95_lower,ci95_upper,bootstrap_probability_patch_better,bootstrap_probability_lstm_better,dm_hln_statistic,dm_p_raw,dm_days,dm_p_holm,ci_excludes_zero,strong_support,favored_model
global,24,RMSE,Anbar,0.08670987170233799,0.08274611334038633,0.003963758361951661,4.7902653090740985,0.001929681054795578,0.005926696289429659,0.0,1.0,3.7259739599335515,0.00020988828163557216,717,0.0023087710979912937,True,True,LSTM
global,24,RMSE,Babylon,0.08383192924796842,0.07913103506495778,0.004700894183010645,5.940645385406287,0.0022567493246378276,0.00729278275431658,0.0002,0.9998,3.324285467696757,0.0009315937154967691,717,0.005211606980850682,True,True,LSTM
global,24,RMSE,Baghdad,0.08665882921537876,0.08061961195453632,0.006039217260842444,7.491002641203644,0.003917815324941378,0.008289056178279087,0.0,1.0,4.672558327150317,3.5538747057838075e-06,717,4.97542458809733e-05,True,True,LSTM
global,24,RMSE,Basra,0.0828750064674485,0.07831312793471736,0.004561878532731142,5.825177276195598,0.0022041695952983655,0.0068023390446535405,0.0002,0.9998,3.7166961706410677,0.0002175915671583661,717,0.0023087710979912937,True,True,LSTM
global,24,RMSE,Dhi_Qar,0.08047066223589304,0.07451820659045778,0.005952455645435256,7.987921231316215,0.0035705982769513194,0.008330207046889233,0.0,1.0,4.216982962478245,2.7934134100903637e-05,717,0.00033520960921084366,True,True,LSTM
global,24,RMSE,Diyala,0.08674849616113982,0.08078569646806805,0.005962799693071771,7.381009205545034,0.003788039333619786,0.008269914019667335,0.0,1.0,4.568826779266307,5.77502131725096e-06,717,7.507527712426247e-05,True,True,LSTM
global,24,RMSE,Karbala,0.0805768411967948,0.07518746290729386,0.005389378289500937,7.167921460717514,0.002604868107744019,0.008317922480257492,0.0,1.0,3.344063990777162,0.0008686011634751136,717,0.005211606980850682,True,True,LSTM
global,24,RMSE,Kirkuk,0.09835366128558477,0.09103929278891122,0.007314368496673551,8.03429845795601,0.004586327981261711,0.010120446278580858,0.0,1.0,4.9609361295814045,8.771499510677432e-07,717,1.315724926601615e-05,True,True,LSTM
global,24,RMSE,Maysan,0.08929784158773851,0.08437326352911538,0.004924578058623133,5.836657079080233,0.0025487942645696514,0.007332838432248309,0.0,1.0,3.644072807579902,0.0002877563254956064,717,0.0025898069294604574,True,True,LSTM
global,24,RMSE,Muthanna,0.08143877064226983,0.07692729235878655,0.004511478283483278,5.864600384531774,0.0021583835085857844,0.0069533807825449025,0.0002,0.9998,3.3885283281446865,0.0007411576016546655,717,0.005188103211582659,True,True,LSTM
global,24,RMSE,Najaf,0.07743164142375156,0.0729826105786529,0.00444903084509865,6.0960149408521875,0.002081073583601218,0.006944563754018625,0.0,1.0,3.2677481758123927,0.00113581383114855,717,0.005211606980850682,True,True,LSTM
global,24,RMSE,Nineveh,0.08649478707222553,0.08327726609655133,0.0032175209756742096,3.8636246439020088,0.0012801053437061032,0.0051464197947586774,0.0002,0.9998,3.2567362260232975,0.0011801283193608166,717,0.005211606980850682,True,True,LSTM
global,24,RMSE,Qadisiyyah,0.07705175449837248,0.07308168974414213,0.003970064754230354,5.432365847217668,0.001673027606974242,0.006356551520221288,0.0,1.0,3.0037271951038997,0.002759923841660677,717,0.005211606980850682,True,True,LSTM
global,24,RMSE,Salah_al_Din,0.08984888940969386,0.08510836783744735,0.004740521572246512,5.569982943746103,0.0022519355247079655,0.00721106060659928,0.0,1.0,3.509758235213772,0.00047658459925816436,717,0.003812676794065315,True,True,LSTM
global,24,RMSE,Wasit,0.085549710761139,0.08117854841905564,0.0043711623420833595,5.384627376580787,0.0019553234508399935,0.0069202409681165394,0.0,1.0,3.142192092520189,0.0017459938515485872,717,0.005211606980850682,True,True,LSTM
global,48,RMSE,Anbar,0.09392590375230477,0.09300478009976552,0.0009211236525392408,0.9904046346340031,-0.0009001258549988514,0.002778676949852897,0.157,0.843,0.8325345981346256,0.40538524349491384,716,1.0,False,False,LSTM
global,48,RMSE,Babylon,0.09208723985580825,0.08950215969863784,0.002585080157170405,2.8882880210652035,0.00039411623193522793,0.0048341235360984955,0.01,0.99,2.0112020788662117,0.044678953188358975,716,0.40211057869523076,True,False,LSTM
global,48,RMSE,Baghdad,0.09512893968300876,0.0916355940991014,0.003493345583907362,3.8122146947936018,0.0009261010000348409,0.0060587893372895454,0.004,0.996,2.372645072467532,0.017924821492191014,716,0.2509475008906742,True,False,LSTM
global,48,RMSE,Basra,0.09141687848705501,0.08883527535736999,0.0025816031296850284,2.906056315241502,0.00036957166723677117,0.0048603609276410475,0.0104,0.9896,2.1536295390975426,0.03160287103399294,716,0.36826240069413047,True,False,LSTM
global,48,RMSE,Dhi_Qar,0.08871694052634513,0.08547942564282963,0.0032375148835154938,3.7874785179807415,0.0011881425124417079,0.005320880900766865,0.0016,0.9984,2.8862838367116614,0.004015720863755154,716,0.06023581295632731,True,False,LSTM
global,48,RMSE,Diyala,0.09515687803805033,0.0920807560130653,0.0030761220249850285,3.3406785067539615,0.00020019714067203955,0.005920697330222979,0.0198,0.9802,1.9061012406262003,0.057037775575305635,716,0.4480078549766753,True,False,LSTM
global,48,RMSE,Karbala,0.0879991608452593,0.08493976214456618,0.0030593987006931195,3.6018451470185067,0.0004640053998895628,0.005599867419928548,0.0098,0.9902,2.338245600154158,0.01964926317368981,716,0.2554404212579675,True,False,LSTM
global,48,RMSE,Kirkuk,0.10883724233411482,0.10528029697521034,0.0035569453589044814,3.3785479915031127,0.0004443784767684974,0.006623808077108314,0.0146,0.9854,2.132380033154687,0.03331573476980263,716,0.36826240069413047,True,False,LSTM
global,48,RMSE,Maysan,0.10008764008727905,0.09679124704925969,0.00329639303801936,3.4056726599893237,0.0004998013923705723,0.006096010882528761,0.0102,0.9898,2.1653809760740845,0.03068853339117754,716,0.36826240069413047,True,False,LSTM
global,48,RMSE,Muthanna,0.08881183510911007,0.08639183345795401,0.0024200016511560646,2.8011926061667087,0.00017430301797890377,0.004567754599909041,0.0168,0.9832,1.9141414476354763,0.05600098187208441,716,0.4480078549766753,True,False,LSTM
global,48,RMSE,Najaf,0.08424717780161617,0.0828511199790538,0.0013960578225623715,1.685019855996297,-0.0007959080875078007,0.003644191251688097,0.1104,0.8896,1.116858320087443,0.2644300733240571,716,1.0,False,False,LSTM
global,48,RMSE,Nineveh,0.09248750057270148,0.09249988745003121,-1.2386877329725876e-05,-0.01339123502870997,-0.001971266773052729,0.0018160498775718075,0.51,0.49,0.1434643454108927,0.8859638903160649,716,1.0,False,False,PatchTST
global,48,RMSE,Qadisiyyah,0.08383396849094693,0.08292165669245465,0.0009123117984922852,1.100209323935637,-0.0012446330990388403,0.003142194694845159,0.2144,0.7856,0.7075302519373171,0.4794675691046992,716,1.0,False,False,LSTM
global,48,RMSE,Salah_al_Din,0.09775530093665236,0.09589470337679822,0.0018605975598541408,1.9402506023125292,-0.0008405878653419084,0.0046935994570593735,0.0962,0.9038,1.1574288583034196,0.24748369457276842,716,1.0,False,False,LSTM
global,48,RMSE,Wasit,0.0947650886506694,0.0918225140492277,0.0029425746014417054,3.204633016107725,1.1127657575913877e-05,0.005981718162138119,0.0244,0.9756,1.7899409961730508,0.07388645015564278,716,0.4480078549766753,True,False,LSTM
