scope,lookback,horizon,n_seeds,per_kwp_rmse_mean,per_kwp_rmse_sd,per_kwp_mae_mean,per_kwp_mae_sd,per_kwp_r2_mean,per_kwp_r2_sd,bias_per_kwp_mean,bias_per_kwp_sd,reference_kw_rmse_mean,reference_kw_rmse_sd,reference_kw_mae_mean,reference_kw_mae_sd,daylight_per_kwp_rmse_mean,daylight_per_kwp_rmse_sd,daylight_per_kwp_mae_mean,daylight_per_kwp_mae_sd,daylight_per_kwp_r2_mean,daylight_per_kwp_r2_sd,daylight_bias_per_kwp_mean,daylight_bias_per_kwp_sd
Anbar,168,24,3,0.06409831903857748,8.731070790618697e-05,0.0274383562769768,7.319877104377586e-05,0.9409702510921875,0.00016076389319037053,3.8420586091440315e-05,4.303082714253822e-06,216.01133516000607,0.29423708564384965,92.46726065341181,0.246679858417521,0.09059637514653862,0.00012340469713439245,0.054813363581805184,0.00014622854264526505,0.8669209285855738,0.0003624326719762119,7.675246772064305e-05,8.596230581672574e-06
Babylon,168,24,3,0.058669743086064846,6.012735567617488e-05,0.025087095852814933,2.191654011363491e-05,0.948077993255238,0.00010639813258057397,3.088947445553743e-05,2.0046571751168243e-06,197.7170342000385,0.20262918862871163,84.54351302398632,0.07385874018295144,0.08295261620138973,8.501352138689128e-05,0.050151299575411694,4.381308124878235e-05,0.8813083228252379,0.00024322197072097618,6.175076207447346e-05,4.007485088155455e-06
Baghdad,168,24,3,0.06080576331333044,5.69706036352033e-05,0.026082550843741604,4.478721784352843e-05,0.9440377946499593,0.00010489338035194505,2.8340741340146948e-05,3.6607826100790824e-06,204.9154223659236,0.19199093425062597,87.89819634340921,0.15093292413268833,0.08579301124656395,8.038184823390164e-05,0.05192355222923676,8.915966305721476e-05,0.8747343856764455,0.00023479299370125997,5.641902021034502e-05,7.287662859092322e-06
Basra,168,24,3,0.06030162100175606,0.00010212581638574284,0.02499527312505284,7.575544538300798e-05,0.9444530151163452,0.00018805503883345296,3.5269537667575403e-05,2.244392446780007e-06,203.2164627759179,0.344164001219962,84.23407043142808,0.25529585094074075,0.08505888424375004,0.0001440543031836663,0.04973238375842032,0.00015072845424528314,0.8725774662886865,0.0004313906429939551,7.017479558996466e-05,4.465603792738208e-06
Dhi_Qar,168,24,3,0.05820518541168229,6.0658231898949283e-05,0.024115996384930446,4.9361806784535857e-05,0.9485516500548247,0.00010720280328588163,3.989529780043877e-05,1.2025213088849484e-06,196.15147483736936,0.20441824149946186,81.27090781721562,0.16634928886388545,0.08219709781075744,8.56612788905359e-05,0.048094434634167925,9.844205281548237e-05,0.8810625699720771,0.00024782963745574344,7.95630320077857e-05,2.398183411675284e-06
Diyala,168,24,3,0.06092646270752375,6.191739014328892e-05,0.026140815129554473,1.903181194677537e-05,0.9438104137067752,0.00011423887845604437,2.2292351073652875e-05,2.2221672275190058e-06,205.32217932435503,0.20866160478288362,88.09454698659857,0.0641372062606345,0.08590063803720895,8.729775343170844e-05,0.05196368915073372,3.783214697308097e-05,0.874523718135709,0.000255105450291222,4.431356849009116e-05,4.417307053336459e-06
Karbala,168,24,3,0.05609527191538136,7.635587157568506e-05,0.02409657807080608,5.495412224381882e-05,0.9530625120653543,0.00012778216803502763,2.2792660430080816e-05,1.112840597248312e-06,189.04106635483518,0.2573192872100587,81.20546809861649,0.18519539196166326,0.07934957722097437,0.00010800921220257368,0.0482161014728105,0.0001099605731017657,0.8913831844418306,0.00029569737938266643,4.560702457016239e-05,2.226740867617006e-06
Kirkuk,168,24,3,0.0750517056615159,4.124499831577172e-05,0.03316510981693178,1.274197013109754e-05,0.9183147736270608,8.977883011740683e-05,2.365773426307854e-05,2.0012202639319826e-06,252.92424807930857,0.13899564432415146,111.7664200830601,0.042940439341796546,0.10576080099492907,5.812131810280854e-05,0.06585818671237749,2.5302586139747652e-05,0.825008509545205,0.00019233014329670834,4.697875233611326e-05,3.973957527116033e-06
Maysan,168,24,3,0.06697535082131689,5.442846419767138e-05,0.028502768976668747,4.130153540577486e-05,0.9362493036599399,0.0001036097428183467,3.3744590152279334e-05,2.6490279538837383e-06,225.70693226783794,0.18342392434614319,96.05433145137368,0.13918617431745586,0.09445613608655089,7.676111223296674e-05,0.05669142979435609,8.214791681370213e-05,0.8563619180918239,0.00023344536734209846,6.711730587028911e-05,5.268862909207732e-06
Muthanna,168,24,3,0.058418222620008786,7.332835920778574e-05,0.02460010745937032,3.92052885037775e-05,0.9456624981907021,0.00013637105345121048,3.3840655348733825e-05,2.7304046611590978e-06,196.8694102294296,0.24711657053024041,82.90236213807798,0.13212182225772937,0.08246820392433866,0.00010351663931852529,0.049024525372071893,7.813057988251783e-05,0.8773944260836813,0.0003077037169032465,6.743962681836215e-05,5.441309262900434e-06
